"EDICION","VERSION","TIPO_GEO","CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","CVE_AGEB","CVE_MZA","TIPOMZA","AMBITO","cve_ent","cve_mun","cve_loc","cve_ageb","cve_mza","ambito","tipomza","nom_loc","pobtot","tvivparhab","vph_s_elec","vph_aguafv","vph_ndeaed","pct_sin_elec","pct_sin_agua","pct_sin_servs","pob65","pob02","pobtot_imp","pobtot_imputado","pob65_imp","pob65_imputado","vph_s_elec_imp","vph_s_elec_imputado","vph_aguafv_imp","vph_aguafv_imputado"
"2025","1","m","3105000015600023","31","050","0001","5600","023","Típica","Urbana","31","050","0001","5600","023","Urbana","T","Mérida",0,NA,0,0,0,NA,NA,NA,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000014636022","31","050","0001","4636","022","Típica","Urbana","31","050","0001","4636","022","Urbana","T","Mérida",0,0,0,0,0,NA,NA,NA,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE
"2025","1","m","310500001181A013","31","050","0001","181A","013","Típica","Urbana","31","050","0001","181A","013","Urbana","T","Mérida",89,22,0,0,0,0,0,0,7,3,89,FALSE,7,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000013303014","31","050","0001","3303","014","Típica","Urbana","31","050","0001","3303","014","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,TRUE,6,TRUE,0,TRUE,0,TRUE
"2025","1","m","310500001181A011","31","050","0001","181A","011","Típica","Urbana","31","050","0001","181A","011","Urbana","T","Mérida",76,17,0,0,0,0,0,0,4,NA,76,FALSE,4,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000015916021","31","050","0001","5916","021","Típica","Urbana","31","050","0001","5916","021","Urbana","T","Mérida",0,0,0,0,0,NA,NA,NA,0,0,0,FALSE,0,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000015013025","31","050","0001","5013","025","Típica","Urbana","31","050","0001","5013","025","Urbana","T","Mérida",25,8,0,0,0,0,0,0,NA,NA,25,FALSE,5,TRUE,0,FALSE,0,FALSE
"2025","1","m","3105000016774012","31","050","0001","6774","012","Típica","Urbana","31","050","0001","6774","012","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,TRUE,0,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000011716010","31","050","0001","1716","010","Típica","Urbana","31","050","0001","1716","010","Urbana","T","Mérida",80,27,0,0,0,0,0,0,23,0,80,FALSE,23,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000015282015","31","050","0001","5282","015","Típica","Urbana","31","050","0001","5282","015","Urbana","T","Mérida",120,36,0,0,0,0,0,0,25,4,120,FALSE,25,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000014814031","31","050","0001","4814","031","Típica","Urbana","31","050","0001","4814","031","Urbana","T","Mérida",114,35,0,0,0,0,0,0,4,5,114,FALSE,4,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000010031027","31","050","0001","0031","027","Típica","Urbana","31","050","0001","0031","027","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,TRUE,0,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000011345021","31","050","0001","1345","021","Típica","Urbana","31","050","0001","1345","021","Urbana","T","Mérida",57,18,0,0,0,0,0,0,11,NA,57,FALSE,11,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000010544018","31","050","0001","0544","018","Típica","Urbana","31","050","0001","0544","018","Urbana","T","Mérida",57,20,0,0,0,0,0,0,12,NA,57,FALSE,12,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000016774025","31","050","0001","6774","025","Típica","Urbana","31","050","0001","6774","025","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,TRUE,0,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000011773006","31","050","0001","1773","006","Típica","Urbana","31","050","0001","1773","006","Urbana","T","Mérida",89,22,0,0,0,0,0,0,8,NA,89,FALSE,8,FALSE,0,FALSE,0,FALSE
"2025","1","m","310500001295A035","31","050","0001","295A","035","Típica","Urbana","31","050","0001","295A","035","Urbana","T","Mérida",150,45,0,0,0,0,0,0,24,3,150,FALSE,24,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000011773049","31","050","0001","1773","049","Típica","Urbana","31","050","0001","1773","049","Urbana","T","Mérida",96,28,0,0,0,0,0,0,8,3,96,FALSE,8,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000012998041","31","050","0001","2998","041","Típica","Urbana","31","050","0001","2998","041","Urbana","T","Mérida",37,11,0,0,0,0,0,0,NA,NA,37,FALSE,15,TRUE,0,FALSE,0,FALSE
"2025","1","m","3105000013981013","31","050","0001","3981","013","Típica","Urbana","31","050","0001","3981","013","Urbana","T","Mérida",92,25,0,0,0,0,0,0,9,3,92,FALSE,9,FALSE,0,FALSE,0,FALSE
"2025","1","m","310500001288A019","31","050","0001","288A","019","Típica","Urbana","31","050","0001","288A","019","Urbana","T","Mérida",59,18,0,0,0,0,0,0,NA,NA,59,FALSE,7,TRUE,0,FALSE,0,FALSE
"2025","1","m","3105000010347045","31","050","0001","0347","045","Típica","Urbana","31","050","0001","0347","045","Urbana","T","Mérida",64,18,0,0,0,0,0,0,13,NA,64,FALSE,13,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000774392028","31","050","0077","4392","028","Típica","Urbana","31","050","0077","4392","028","Urbana","T","Chablekal",80,23,NA,0,0,NA,0,0,0,6,80,FALSE,0,FALSE,0,TRUE,0,FALSE
"2025","1","m","3105000011716008","31","050","0001","1716","008","Típica","Urbana","31","050","0001","1716","008","Urbana","T","Mérida",60,31,0,0,0,0,0,0,28,0,60,FALSE,28,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000010120004","31","050","0001","0120","004","Típica","Urbana","31","050","0001","0120","004","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,TRUE,14,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000014195001","31","050","0001","4195","001","Típica","Urbana","31","050","0001","4195","001","Urbana","T","Mérida",145,53,0,0,0,0,0,0,5,3,145,FALSE,5,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000012926022","31","050","0001","2926","022","Típica","Urbana","31","050","0001","2926","022","Urbana","T","Mérida",83,25,0,0,0,0,0,0,15,NA,83,FALSE,15,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000013182029","31","050","0001","3182","029","Típica","Urbana","31","050","0001","3182","029","Urbana","T","Mérida",56,16,0,0,0,0,0,0,13,0,56,FALSE,13,FALSE,0,FALSE,0,FALSE
"2025","1","m","3105000010031028","31","050","0001","0031","028","Típica","Urbana","31","050","0001","0031","028","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,TRUE,0,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000010031026","31","050","0001","0031","026","Típica","Urbana","31","050","0001","0031","026","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,TRUE,0,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000010987031","31","050","0001","0987","031","Típica","Urbana","31","050","0001","0987","031","Urbana","T","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,TRUE,0,TRUE,0,TRUE,0,TRUE
"2025","1","m","3105000013197003","31","050","0001","3197","003","Típica","Urbana","31","050","0001","3197","003","Urbana","T","Mérida",69,21,0,0,0,0,0,0,9,5,69,FALSE,9,FALSE,0,FALSE,0,FALSE
